sample, time, clock, pulses, frequency
0, 142488, 125001540, 49861, 49860.47
1, 143490, 121232550, 48358, 49860.86
2, 143525, 18026, 6, 41606.64
3, 143599, 125352, 50, 49859.68
4, 143627, 16652, 6, 45039.71
5, 143659, 125352, 50, 49859.68
6, 143697, 17324, 6, 43292.61
7, 143741, 125352, 50, 49859.68
8, 143791, 17968, 6, 41740.94
9, 143848, 125352, 50, 49859.68
10, 143912, 125352, 50, 49859.68
11, 143985, 125352, 50, 49859.68
12, 144065, 125352, 50, 49859.68
13, 144105, 125352, 50, 49859.68
14, 144155, 125352, 50, 49859.68
15, 144241, 125352, 50, 49859.68
16, 144327, 125352, 50, 49859.68
17, 144415, 125352, 50, 49859.68
18, 144501, 125352, 50, 49859.68
19, 144594, 125352, 50, 49859.68
20, 144690, 125352, 50, 49859.68
21, 144778, 125352, 50, 49859.68
22, 144877, 125352, 50, 49859.68
23, 144981, 125352, 50, 49859.68
24, 145042, 125352, 50, 49859.68
25, 145104, 125352, 50, 49859.68
26, 145163, 125352, 50, 49859.68
27, 145229, 125352, 50, 49859.68
28, 145296, 125352, 50, 49859.68
29, 145368, 125352, 50, 49859.68
30, 145444, 125352, 50, 49859.68
31, 145511, 125352, 50, 49859.68
32, 145581, 125352, 50, 49859.68
33, 145653, 125352, 50, 49859.68
34, 145724, 125352, 50, 49859.68
35, 145798, 125352, 50, 49859.68
36, 145871, 125352, 50, 49859.68
37, 145950, 125352, 50, 49859.68
38, 146034, 125352, 50, 49859.68
39, 146141, 125352, 50, 49859.68
40, 146199, 125352, 50, 49859.68
41, 146266, 125352, 50, 49859.68
42, 146332, 125352, 50, 49859.68
43, 146399, 125352, 50, 49859.68
44, 146470, 125352, 50, 49859.68
45, 146534, 125352, 50, 49859.68
46, 146600, 125352, 50, 49859.68
47, 146665, 125352, 50, 49859.68
48, 146730, 125352, 50, 49859.68
49, 146800, 125352, 50, 49859.68
50, 146870, 125352, 50, 49859.68
51, 146945, 125352, 50, 49859.68
52, 147015, 125352, 50, 49859.68
53, 147094, 125352, 50, 49859.68
54, 147163, 125352, 50, 49859.68
55, 147277, 125352, 50, 49859.68
56, 147348, 125352, 50, 49859.68
57, 147418, 125352, 50, 49859.68
58, 147485, 125352, 50, 49859.68
59, 147549, 125352, 50, 49859.68
60, 147619, 125352, 50, 49859.68
61, 147690, 125352, 50, 49859.68
62, 147757, 125352, 50, 49859.68
63, 147829, 125352, 50, 49859.68
64, 147902, 125352, 50, 49859.68
65, 147976, 125352, 50, 49859.68
66, 148052, 125352, 50, 49859.68
67, 148123, 125352, 50, 49859.68
68, 148195, 125352, 50, 49859.68
69, 148270, 125352, 50, 49859.68
70, 148345, 125352, 50, 49859.68
71, 148458, 125352, 50, 49859.68
72, 148528, 125352, 50, 49859.68
73, 148598, 125352, 50, 49859.68
74, 148671, 125352, 50, 49859.68
75, 148738, 125352, 50, 49859.68
76, 148806, 125352, 50, 49859.68
77, 148883, 125352, 50, 49859.68
78, 148960, 125352, 50, 49859.68
79, 149042, 125352, 50, 49859.68
80, 149117, 125352, 50, 49859.68
81, 149196, 125352, 50, 49859.68
82, 149280, 125352, 50, 49859.68
83, 149359, 125352, 50, 49859.68
84, 149433, 125352, 50, 49859.68
0, 173568, 125352, 50, 49859.68
1, 173649, 125352, 50, 49859.68
2, 173772, 125352, 50, 49859.68
3, 173848, 125352, 50, 49859.68
4, 173919, 124710, 50, 50116.35
5, 173999, 125352, 50, 49859.68
6, 174071, 125352, 50, 49859.68
7, 174142, 125352, 50, 49859.68
8, 174214, 125352, 50, 49859.68
9, 174289, 125352, 50, 49859.68
10, 174370, 125352, 50, 49859.68
11, 174450, 125352, 50, 49859.68
12, 174532, 125352, 50, 49859.68
13, 174617, 125352, 50, 49859.68
14, 174692, 125352, 50, 49859.68
15, 174769, 125352, 50, 49859.68
16, 174847, 125352, 50, 49859.68
17, 174926, 125352, 50, 49859.68
18, 175048, 125352, 50, 49859.68
19, 175121, 125352, 50, 49859.68
20, 175193, 125352, 50, 49859.68
21, 175277, 125352, 50, 49859.68
22, 175351, 125352, 50, 49859.68
23, 175428, 125352, 50, 49859.68
24, 175501, 125352, 50, 49859.68
25, 175576, 125352, 50, 49859.68
26, 175657, 125352, 50, 49859.68
