sample, time, clock, pulses, frequency
0, 50033122, 125230, 247, 246546.8
1, 50033154, 125230, 247, 246546.8
2, 50033188, 125230, 247, 246546.8
3, 50033226, 125230, 247, 246546.8
4, 50033313, 125088, 146, 145897.5
5, 50033345, 125352, 50, 49859.68
6, 50033383, 125352, 50, 49859.68
7, 50033426, 125352, 50, 49859.68
8, 50033476, 125352, 50, 49859.68
9, 50033534, 125352, 50, 49859.68
10, 50033599, 125352, 50, 49859.68
11, 50033673, 125352, 50, 49859.68
12, 50033765, 125352, 50, 49859.68
13, 50033808, 125352, 50, 49859.68
14, 50033894, 125352, 50, 49859.68
15, 50033977, 125702, 100, 99441.7
16, 50034066, 125702, 100, 99441.7
17, 50034146, 125702, 100, 99441.7
18, 50034230, 125702, 100, 99441.7
19, 50034318, 125702, 100, 99441.7
20, 50034404, 125702, 100, 99441.7
21, 50034494, 125702, 100, 99441.7
22, 50034587, 125702, 100, 99441.7
23, 50034721, 125702, 100, 99441.7
24, 50034793, 125702, 100, 99441.7
25, 50034860, 125702, 100, 99441.7
26, 50034928, 125702, 100, 99441.7
27, 50035000, 125702, 100, 99441.7
28, 50035074, 125702, 100, 99441.7
29, 50035151, 125702, 100, 99441.7
30, 50035225, 125702, 100, 99441.7
31, 50035308, 125702, 100, 99441.7
32, 50035392, 125702, 100, 99441.7
33, 50035471, 125702, 100, 99441.7
34, 50035543, 125702, 100, 99441.7
35, 50035620, 125702, 100, 99441.7
36, 50035694, 125702, 100, 99441.7
37, 50035774, 125702, 100, 99441.7
38, 50035901, 125702, 100, 99441.7
39, 50035966, 125702, 100, 99441.7
40, 50036032, 125702, 100, 99441.7
41, 50036099, 125702, 100, 99441.7
42, 50036171, 125702, 100, 99441.7
43, 50036245, 125702, 100, 99441.7
44, 50036321, 125702, 100, 99441.7
45, 50036403, 125702, 100, 99441.7
46, 50036476, 125702, 100, 99441.7
47, 50036554, 125702, 100, 99441.7
48, 50036627, 125702, 100, 99441.7
49, 50036708, 125702, 100, 99441.7
50, 50036791, 125702, 100, 99441.7
51, 50036877, 125702, 100, 99441.7
