sample, time, clock, pulses, frequency
0, 1308047, 125702, 100, 99441.7
1, 1308080, 125702, 100, 99441.7
2, 1308171, 125702, 100, 99441.7
3, 1308200, 125702, 100, 99441.7
4, 1308233, 125160, 246, 245685.9
5, 1308271, 125230, 247, 246546.8
6, 1308314, 125230, 247, 246546.8
7, 1308363, 125230, 247, 246546.8
8, 1308418, 125230, 247, 246546.8
9, 1308481, 125230, 247, 246546.8
10, 1308551, 125230, 247, 246546.8
11, 1308650, 125230, 247, 246546.8
12, 1308691, 125230, 247, 246546.8
13, 1308744, 125230, 247, 246546.8
14, 1308840, 125230, 247, 246546.8
15, 1308930, 125230, 247, 246546.8
16, 1309018, 125230, 247, 246546.8
17, 1309111, 125230, 247, 246546.8
18, 1309209, 125230, 247, 246546.8
19, 1309300, 125230, 247, 246546.8
20, 1309401, 125230, 247, 246546.8
21, 1309532, 125230, 247, 246546.8
22, 1309596, 125230, 247, 246546.8
23, 1309661, 125230, 247, 246546.8
24, 1309721, 125230, 247, 246546.8
25, 1309809, 125230, 247, 246546.8
26, 1309885, 125230, 247, 246546.8
27, 1309960, 125230, 247, 246546.8
28, 1310035, 125230, 247, 246546.8
29, 1310106, 125230, 247, 246546.8
30, 1310170, 125230, 247, 246546.8
31, 1310240, 125230, 247, 246546.8
32, 1310309, 125230, 247, 246546.8
33, 1310383, 125230, 247, 246546.8
34, 1310458, 125230, 247, 246546.8
35, 1310543, 125230, 247, 246546.8
36, 1310679, 125352, 50, 49859.68
37, 1310742, 125352, 50, 49859.68
38, 1310809, 125352, 50, 49859.68
39, 1310877, 125352, 50, 49859.68
40, 1310942, 125352, 50, 49859.68
41, 1311012, 125352, 50, 49859.68
42, 1311090, 125352, 50, 49859.68
43, 1311167, 125352, 50, 49859.68
44, 1311236, 125352, 50, 49859.68
45, 1311309, 125352, 50, 49859.68
46, 1311385, 125352, 50, 49859.68
47, 1311456, 125352, 50, 49859.68
48, 1311534, 125352, 50, 49859.68
49, 1311619, 125352, 50, 49859.68
50, 1311703, 125352, 50, 49859.68
51, 1311849, 125352, 50, 49859.68
52, 1311921, 125352, 50, 49859.68
53, 1311991, 125352, 50, 49859.68
54, 1312065, 125352, 50, 49859.68
55, 1312138, 125352, 50, 49859.68
56, 1312216, 125352, 50, 49859.68
